ASSEMBLY,TPENG ITEM CODE,QUANTITY,UNIT
L01A,16LTGS990039,1,EA
L01A,16HWRX260123,2,EA
L01A,16CONF150185,1,EA
L01A,16CONF990200,1,EA
L01A,16CONF140138,2,EA
L01A,16STUS060064,3,FT
L01A,16STUA260014,2,EA
L01A,16CONS050022,10,FT
L01A,16SPTS060009,2,FT
L01A,16HWRX260060,4,EA
L01A,16HWRX260069,4,EA
L01A,16HWRX260049,4,EA
L01B,16LTGS990040,1,EA
L01B,16HWRX260123,2,EA
L01B,16CONF150185,1,EA
L01B,16CONF990200,1,EA
L01B,16CONF140138,2,EA
L01B,16STUS060064,3,FT
L01B,16STUA260014,2,EA
L01B,16CONS050022,10,FT
L01B,16SPTS060009,2,FT
L01B,16HWRX260060,4,EA
L01B,16HWRX260069,4,EA
L01B,16HWRX260049,4,EA
L01C,16LTGS990041,1,EA
L01C,16HWRX260123,2,EA
L01C,16CONF150185,1,EA
L01C,16CONF990200,1,EA
L01C,16CONF140138,2,EA
L01C,16STUS060064,3,FT
L01C,16STUA260014,2,EA
L01C,16CONS050022,10,FT
L01C,16SPTS060009,2,FT
L01C,16HWRX260060,4,EA
L01C,16HWRX260069,4,EA
L01C,16HWRX260049,4,EA
L02A,16LTGS990103,1,EA
L02A,16HWRX260123,2,EA
L02A,16CONF150185,1,EA
L02A,16CONF990200,1,EA
L02A,16CONF140138,2,EA
L02A,16STUS060064,3,FT
L02A,16STUA260014,2,EA
L02A,16CONS050022,10,EA
L02A,16SPTS060009,2,FT
L02A,16HWRX260060,4,EA
L02A,16HWRX260069,4,EA
L02A,16HWRX260049,4,EA
L02B,16LTGS990104,1,EA
L02B,16HWRX260123,2,EA
L02B,16CONF150185,1,EA
L02B,16CONF990200,1,EA
L02B,16CONF140138,2,EA
L02B,16STUS060064,3,FT
L02B,16STUA260014,2,EA
L02B,16CONS050022,10,EA
L02B,16SPTS060009,2,FT
L02B,16HWRX260060,4,EA
L02B,16HWRX260069,4,EA
L02B,16HWRX260049,4,EA
L02C,16LTGS990105,1,EA
L02C,16HWRX260123,2,EA
L02C,16CONF150185,1,EA
L02C,16CONF990200,1,EA
L02C,16CONF140138,2,EA
L02C,16STUS060064,3,FT
L02C,16STUA260014,2,EA
L02C,16CONS050022,10,EA
L02C,16SPTS060009,2,FT
L02C,16HWRX260060,4,EA
L02C,16HWRX260069,4,EA
L02C,16HWRX260049,4,EA
L06A,16LTGH990035,1,EA
L06A,16HWRX260009,2,EA
L06A,16STUS060064,2,FT
L06A,16STUA260014,2,EA
L06A,16CONS050020,3,FT
L06A,16LTGA050059,1,EA
L06A,16CONA050330,1,EA
L06A,16CONF150181,1,EA
L06A,16CONF990203,1,EA
L06B,16LTGH990035,1,EA
L06B,16STUS060064,--,FT
L06B,16STUA260014,2,EA
L06B,16CONS050020,3,FT
L06B,16LTGA050059,1,EA
L06B,16CONA050330,1,EA
L06B,16STUS060056,2,FT
L06B,16HWRX260098,2,EA
L06B,16HLTX990001,2,EA
L06B,16HLTX990003,4,EA
L06B,16CONF150181,1,EA
L06B,16CONF990203,1,EA
L06C,16LTGH990036,1,EA
L06C,16HWRX260009,2,EA
L06C,16STUS060064,2,FT
L06C,16STUA260014,2,EA
L06C,16CONS050020,3,FT
L06C,16LTGA050059,1,EA
