TPENG ITEM CODE,BILL OF MATERIAL
16CONA050330,"CAP, CONDUIT, GALVANIZED RIGID, 3/4"""
16CONF050331,"CONDULET, OUTLET BOX, 3/4"", TYPE ""GUAB"", GALVANIZED, W/ COVER AND GASKET"
16CONF110171,"CONNECTOR, 3/4"", LIQUIDTIGHT INSULATED THROAT, TYPE STB"
16CONF140138,"REDUCER, CONDUIT, 1 1/2"" X 3/4"""
16CONF140143,"REDUCER, CONDUIT, 2"" X 3/4"""
16CONF150181,"FITTING, CONDUIT BODY 3/4"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET"
16CONF150185,"FITTING, CONDUIT BODY 1 1/2"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET"
16CONF150187,"FITTING, CONDUIT BODY 2"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET"
16CONF260039,"ONE HOLE CONDUIT STRAP, 3/4"" - 316 STAINLESS STEEL"
16CONF990200,"UNION, CONDUIT, 1 1/2"", TYPE ""UNY"" MALE/FEMALE"
16CONF990201,"UNION, CONDUIT, 2"", TYPE ""UNY"" MALE/FEMALE"
16CONF990203,"UNION, CONDUIT, 3/4"", TYPE ""UNY"" MALE/FEMALE"
16CONF990216,"NIPPLE, CONDUIT, 3/4"" X CLOSE"
16CONF990417,"SEAL, 3/4"" TYPE ""EYS"", VERTICAL/HORIZONTAL,FEMALE"
16CONS050020,"CONDUIT 3/4"", RIGID GALVANIZED STEEL"
16CONS050022,"CONDUIT 1 1/2"", RIGID GALVANIZED STEEL"
16CONS050023,"CONDUIT 2"", RIGID GALVANIZED STEEL"
16CONS110011,"CONDUIT 3/4"", FLEXIBLE LIQUIDTIGHT, PVC JACKET, STEEL CORE, TYPE UA/LA-GRAY"
16HLTX990001,"STAND-OFF ADAPTOR, HILTI, M8-MF 25, 1"" LONG, WITH NUT, HDG"
16HLTX990003,"PLATE, MQZ-L9-F"
16HWRX260002,SPRING NUT 1/2-13 316SS
16HWRX260004,SPRING NUT 3/8-16 316 SS
16HWRX260006,SPRING NUT 1/4-20 316SS
16HWRX260009,"STUD, THREADED, 3/8"", X-BT-MR W10/15 SN 8, WITH NUT, 316 STAINLESS STEEL"
16HWRX260012,"WASHER, LOCK 1/2"", 316 STAINLESS STEEL"
16HWRX260043,"MACHINE BOLT 1/4"" X 1"", HEX HEAD NC THREADS 316 STAINLESS STEEL"
16HWRX260044,"MACHINE BOLT 1/4"" X 1 1/2"", HEX HEAD NC THREADS 316 STAINLESS STEEL"
16HWRX260049,"NUT, HEX HEAD, 1/4"" 316 STAINLESS STEEL"
16HWRX260050,"NUT, HEX HEAD, 3/8"" 316 STAINLESS STEEL"
16HWRX260060,"WASHER, FLAT 1/4"" 316 STAINLESS STEEL"
16HWRX260061,"WASHER, FLAT 3/8"" 316 STAINLESS STEEL"
16HWRX260069,"WASHER, LOCK 1/4"" 316 STAINLESS STEEL"
16HWRX260081,"WASHER, FLAT 1/2"" 316 STAINLESS STEEL"
16HWRX260082,"WASHER, LOCK 3/8"" 316 STAINLESS STEEL"
16HWRX260083,"MACHINE BOLT 3/8"" X 1"", HEX HEAD NC THREADS 316 STAINLESS STEEL"
16HWRX260088,"MACHINE BOLT 1/2"" X 1-1/2"", HEX HEAD NC THREADS 316 STAINLESS STEEL"
16HWRX260098,"STUD, THREADED, 8MM, X-BT-GR M8/7 SN 8, W/O NUT, 316 STAINLESS STEEL"
16HWRX260122,"U-BOLT, 3/8"" X 2"", 2"" PIPE, 316 STAINLESS STEEL"
16HWRX260123,"U-BOLT, 1/4"" X 1 1/2"", 1 1/2"" PIPE, 316 STAINLESS STEEL"
16HWRX260135,"MACHINE BOLT 3/8"" x 1-1/2"" HEX HEAD NC THREADS 316 STAINLESS STEEL"
16HWRX260135,"MACHINE BOLT 3/8"" X 1-1/2"" HEX HEAD NC THREADS 316 STAINLESS STEEL"
16HWRX260166,"EXPANSION ANCHOR, 3/8"" x 1-1/2"", 316 STAINLESS STEEL, WITH FLAT WASHER AND NUT"
16HWRX260167,"U-BOLT, 3/8"" X 3/4""X 1 1/2"" PIPE, 316 STAINLESS STEEL"
16HWRX260169,"EXPANSION ANCHOR, 3/8"" x 1-1/2"", 316 STAINLESS STEEL, WITH FLAT WASHER AND NUT"
16LTGA050059,"HANGER, FIXTURE, FLEXIBLE, MALLEABLE IRON, 3/4"" NIPPLE, 3/4"" STEAM"
16LTGB990007,"BRACKET, RIGHT ANGLE, FOR FLOOD LIGHT"
16LTGB990008,"TENON TOPPER, POLE SET SCREWS AND MOUNTING HARDWARE, FLOODLIGHT"
16LTGC990031,"LED, CHAMP VMV, CEILING MOUNT, 29W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB"
16LTGC990032,"LED, CHAMP VMV, CEILING MOUNT, 41W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB"
16LTGC990033,"LED, CHAMP VMV, CEILING MOUNT, 54W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB"
16LTGC990095,"LED, CHAMP PVMV, CEILING MOUNT,25 DEG. ANGLE, 28W, 100-277VAC, 5000K"
16LTGC990096,"LED, CHAMP PVMV, CEILING MOUNT,25 DEG. ANGLE, 45W, 100-277VAC, 5000K"
16LTGC990097,"LED, CHAMP PVMV, CEILING MOUNT,25 DEG. ANGLE, 61W, 100-277VAC, 5000K"
