filename,TPENG ITEM CODE,QUANTITY,BILL OF MATERIAL,UNIT,wbs_code
078051C-0000-DW-1632-0001-A_04.dwg,16CONF140138,29400,"REDUCER, CONDUIT, 1 1/2"" X 3/4""",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16CONF150181,648,"FITTING, CONDUIT BODY 3/4"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16CONF150185,14700,"FITTING, CONDUIT BODY 1 1/2"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16CONF990200,14700,"UNION, CONDUIT, 1 1/2"", TYPE ""UNY"" MALE/FEMALE",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16CONF990203,648,"UNION, CONDUIT, 3/4"", TYPE ""UNY"" MALE/FEMALE",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16CONF990216,648,"NIPPLE, CONDUIT, 3/4"" X CLOSE",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16CONS050020,2106,"CONDUIT 3/4"", RIGID GALVANIZED STEEL",FT,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16CONS050022,147000,"CONDUIT 1 1/2"", RIGID GALVANIZED STEEL",FT,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16HWRX260006,162,SPRING NUT 1/4-20 316SS,EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16HWRX260009,1620,"STUD, THREADED, 3/8"", X-BT-MR W10/15 SN 8, WITH NUT, 316 STAINLESS STEEL",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16HWRX260044,162,"MACHINE BOLT 1/4"" X 1 1/2"", HEX HEAD NC THREADS 316 STAINLESS STEEL",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16HWRX260049,58800,"NUT, HEX HEAD, 1/4"" 316 STAINLESS STEEL",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16HWRX260060,58962,"WASHER, FLAT 1/4"" 316 STAINLESS STEEL",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16HWRX260069,58962,"WASHER, LOCK 1/4"" 316 STAINLESS STEEL",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16HWRX260123,29400,"U-BOLT, 1/4"" X 1 1/2"", 1 1/2"" PIPE, 316 STAINLESS STEEL",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16LTGC990031,81,"LED, CHAMP VMV, CEILING MOUNT, 29W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16LTGH990110,648,"LED LINEAR , PENDANT MOUNT , 60W, CL. I, DIV. 2, A,B,C,D, 100-240VAC, 5700K",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16LTGS990039,14700,"LED, CHAMP VMV, STANCHION MOUNT,25 DEG. ANGLE, 29W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16SPTS060009,29400,"STEEL, ANGLE, L3 X 3 X 1/4, ASTM A36, HDG",FT,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16STUA260014,30858,"CONDUIT STRAP, 3/4"" SS WITH SS6 HARDWARE, USE WITH 1 5/8"" STRUT CHANNEL",EA,WBS01
078051C-0000-DW-1632-0001-A_04.dwg,16STUS060064,45720,"STRUT CHANNEL, 1 5/8"" X 1 5/8"" HDG SLOTTED",FT,WBS01
078051C-0000-DW-1632-0001-A_05.dwg,16CONF140138,18816,"REDUCER, CONDUIT, 1 1/2"" X 3/4""",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16CONF150185,9408,"FITTING, CONDUIT BODY 1 1/2"", TYPE ""T"", FORM 8, IRON ALLOY WITH COVER AND GASKET",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16CONF990200,9408,"UNION, CONDUIT, 1 1/2"", TYPE ""UNY"" MALE/FEMALE",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16CONS050020,4050,"CONDUIT 3/4"", RIGID GALVANIZED STEEL",FT,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16CONS050022,94080,"CONDUIT 1 1/2"", RIGID GALVANIZED STEEL",FT,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16HWRX260006,4050,SPRING NUT 1/4-20 316SS,EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16HWRX260009,8100,"STUD, THREADED, 3/8"", X-BT-MR W10/15 SN 8, WITH NUT, 316 STAINLESS STEEL",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16HWRX260044,4050,"MACHINE BOLT 1/4"" X 1 1/2"", HEX HEAD NC THREADS 316 STAINLESS STEEL",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16HWRX260049,37632,"NUT, HEX HEAD, 1/4"" 316 STAINLESS STEEL",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16HWRX260060,41682,"WASHER, FLAT 1/4"" 316 STAINLESS STEEL",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16HWRX260069,41682,"WASHER, LOCK 1/4"" 316 STAINLESS STEEL",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16HWRX260123,18816,"U-BOLT, 1/4"" X 1 1/2"", 1 1/2"" PIPE, 316 STAINLESS STEEL",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16LTGC990031,2025,"LED, CHAMP VMV, CEILING MOUNT, 29W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K, 3/4"" HUB",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16LTGS990039,9408,"LED, CHAMP VMV, STANCHION MOUNT,25 DEG. ANGLE, 29W, CL. I, DIV. 2, A,B,C,D, 120-277VAC, 5000K",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16SPTS060009,18816,"STEEL, ANGLE, L3 X 3 X 1/4, ASTM A36, HDG",FT,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16STUA260014,22866,"CONDUIT STRAP, 3/4"" SS WITH SS6 HARDWARE, USE WITH 1 5/8"" STRUT CHANNEL",EA,WBS02
078051C-0000-DW-1632-0001-A_05.dwg,16STUS060064,36324,"STRUT CHANNEL, 1 5/8"" X 1 5/8"" HDG SLOTTED",FT,WBS02
